Date,Open,High,Low,Close,Volume,Change,MA3,MA5
2024-02-02,132300,135300,132200,134900,3708253,0.016578749058025588,134100.0,134840.0
2024-02-05,134900,135800,131700,132300,3300954,-0.01927353595255743,133300.0,134300.0
2024-02-06,133700,138400,132000,138000,4672324,0.04308390022675734,135066.66666666666,134520.0
2024-02-07,136600,138500,135500,138000,3348045,0.0,136100.0,135180.0
2024-02-08,139000,143000,137900,142800,5780714,0.034782608695652195,139600.0,137200.0
2024-02-13,146800,150000,145000,150000,6902585,0.050420168067226934,143600.0,140220.0
2024-02-14,146300,149200,144900,148700,4396924,-0.008666666666666711,147166.66666666666,143500.0
2024-02-15,151300,152700,148000,148700,3560211,0.0,149133.33333333334,145640.0
2024-02-16,150600,150600,145700,146800,3265836,-0.012777404169468709,148066.66666666666,147400.0
2024-02-19,146200,153200,146000,151300,3997323,0.03065395095367851,148933.33333333334,149100.0
2024-02-20,150300,151100,147500,149600,3507601,-0.011235955056179803,149233.33333333334,149020.0
2024-02-21,147100,152200,147100,149000,4278500,-0.004010695187165791,149966.66666666666,149080.0
2024-02-22,154500,156500,152600,156500,5966352,0.05033557046979875,151700.0,150640.0
2024-02-23,166900,166900,159800,161400,7012032,0.03130990415335466,155633.33333333334,153560.0
2024-02-26,158400,164800,158400,161800,4329477,0.0024783147459728205,159900.0,155660.0
2024-02-27,159000,160000,153300,153800,6107954,-0.04944375772558718,159000.0,156500.0
2024-02-28,154500,159200,153800,158000,3666960,0.027308192457737412,157866.66666666666,158300.0
2024-02-29,154900,158400,154500,156200,3386307,-0.011392405063291089,156000.0,158240.0
2024-03-04,161000,168100,160700,166500,5230909,0.06594110115236873,160233.33333333334,159260.0
2024-03-05,165100,169000,164100,165800,3612530,-0.004204204204204198,162833.33333333334,160060.0
2024-03-06,164100,165500,162700,162900,2672526,-0.017490952955367955,165066.66666666666,161880.0
2024-03-07,164500,165900,161000,164900,3052700,0.012277470841006721,164533.33333333334,163260.0
2024-03-08,169800,174900,169300,171900,5089650,0.04244996967859316,166566.66666666666,166400.0
